lat,lon,mean_annual_precip_mm
  1.5, 113.5,4010.2880154313707
  1.5, 114.5,3884.5888719229856
  1.5, 115.5,3509.413870449723
  1.5, 116.5,2831.0793751683727
  1.5, 117.5,2203.878490250686
  1.5, 118.5,2016.5753247491248
  1.5, 124.5,2567.342582390997
  1.5, 125.5,2372.338831005425
  1.5, 127.5,2505.270730380354
  1.5, 128.5,2277.8922807101544
  1.5, 173.5,1970.591402392963
  1.5,-157.5,1045.943114559969
  2.5,   9.5,2390.6991823521153
  2.5,  10.5,2187.2052187364675
  2.5,  11.5,1759.9228728958246
  2.5,  12.5,1608.843140071836
  2.5,  13.5,1590.7564980983734
  2.5,  14.5,1601.1720185845063
  2.5,  15.5,1597.9422724884132
  2.5,  16.5,1617.2047732616295
  2.5,  17.5,1638.821590164612
  2.5,  18.5,1654.6521894448788
  2.5,  19.5,1651.1543445217198
  2.5,  20.5,1700.45908545009
  2.5,  21.5,1662.2539091274657
  2.5,  22.5,1677.4116592078374
  2.5,  23.5,1675.8724370824877
  2.5,  24.5,1662.2569201568078
  2.5,  25.5,1713.755202868889
  2.5,  26.5,1750.8164001497728
  2.5,  27.5,1757.8405430234711
  2.5,  28.5,1643.3638242688671
  2.5,  29.5,1502.7603715370442
  2.5,  30.5,1434.87890860053
  2.5,  31.5,1182.7539034387228
  2.5,  32.5,1380.8681300250685
  2.5,  33.5,1173.559071445324
  2.5,  34.5,842.7689823133165
  2.5,  35.5,494.48879974900655
  2.5,  36.5,402.3086273629091
  2.5,  37.5,480.7909553951809
  2.5,  38.5,518.6146637212229
  2.5,  39.5,488.7219911937056
  2.5,  40.5,408.4047481452019
  2.5,  41.5,427.6517318789044
  2.5,  42.5,445.34181810167206
  2.5,  43.5,471.76638747311745
  2.5,  44.5,471.66768113986177
  2.5,  45.5,451.41250570198713
  2.5,  46.5,466.087936029352
  2.5,  96.5,2955.9974632263184
  2.5,  97.5,3065.519597119299
  2.5,  98.5,2765.069024184654
  2.5,  99.5,2593.9129776461373
  2.5, -50.5,3031.6460342407227
  2.5, -51.5,2948.7677380874234
  2.5, -52.5,2762.6879828222864
  2.5, -53.5,2483.2090973360787
  2.5, -54.5,2248.678067667731
  2.5, -55.5,2025.8009067568285
  2.5, -56.5,1980.6987475033463
  2.5, -57.5,1954.211249811896
  2.5, -58.5,1919.612536233047
  2.5, -59.5,1794.6125380170756
  2.5, -60.5,1715.6845122358666
  2.5, -61.5,2030.420292587116
  2.5, -62.5,2451.7698780257124
  2.5, -63.5,2773.606951220282
  2.5, -64.5,2926.5660007082183
  2.5, -65.5,3053.0479198324265
  2.5, -66.5,3120.7466201782227
  2.5, -67.5,3176.189721995386
  2.5, -68.5,3203.891445554536
  2.5, -69.5,3151.322492402175
  2.5, -70.5,3020.1776489389354
  2.5, -71.5,2883.272480602922
  2.5, -72.5,2754.2884120612307
  2.5, -73.5,2635.8478981379803
  2.5, -74.5,2198.834097048332
  2.5, -75.5,1566.181498708396
  2.5, -76.5,1852.346158027649
  2.5, -77.5,3520.2862657349683
  2.5, -78.5,3579.153509205785
  2.5, 100.5,2558.1391271393877
  2.5, 101.5,2386.8250505348733
  2.5, 102.5,2108.642718874175
  2.5, 103.5,2524.699192466407
  2.5, 111.5,3451.3592547712656
  2.5, 112.5,3625.933690432844
  2.5, 113.5,3866.3617169610384
  2.5, 114.5,3797.4393011948155
  2.5, 115.5,3482.242316015835
  2.5, 116.5,3157.0780813940637
  2.5, 117.5,2767.4397122613314
  2.5, 128.5,2450.464691951357
  2.5,-157.5,1154.0741492820712
  3.5,   8.5,2419.5144089460373
  3.5,   9.5,2515.580505118288
  3.5,  10.5,2244.0711723442732
  3.5,  11.5,1785.9517599056505
  3.5,  12.5,1599.0159841563298
  3.5,  13.5,1575.5810687742357
  3.5,  14.5,1556.5957243103403
  3.5,  15.5,1551.195292314065
  3.5,  16.5,1571.4241657503721
  3.5,  17.5,1588.5664115692007
  3.5,  18.5,1584.5444300688546
  3.5,  19.5,1630.2310624550387
  3.5,  20.5,1662.0633951487212
  3.5,  21.5,1650.1052011734455
  3.5,  22.5,1651.846572978743
  3.5,  23.5,1647.4095110934356
  3.5,  24.5,1650.0271819624406
  3.5,  25.5,1702.5095107884242
  3.5,  26.5,1754.1685586879992
  3.5,  27.5,1724.7508804633699
  3.5,  28.5,1640.0819262595012
  3.5,  29.5,1552.4724408922525
  3.5,  30.5,1450.4832123667002
  3.5,  31.5,1143.5008838729098
  3.5,  32.5,1181.9435557973861
  3.5,  33.5,963.913811920532
  3.5,  34.5,632.786652178343
  3.5,  35.5,299.1060393450396
  3.5,  36.5,316.5952644247947
  3.5,  37.5,421.95906029230565
  3.5,  38.5,546.6599241481002
  3.5,  39.5,587.9207016296427
  3.5,  40.5,480.3689743945825
  3.5,  41.5,364.37543800444314
  3.5,  42.5,344.52543683876763
  3.5,  43.5,444.3375061618421
  3.5,  44.5,436.09224917823127
  3.5,  45.5,357.79440175449673
  3.5,  46.5,331.6948309920985
  3.5,  96.5,3008.4474658966064
  3.5,  97.5,2593.0621175437136
  3.5,  98.5,2742.995305127111
  3.5,  99.5,2543.4690181469095
  3.5, -51.5,3115.971613916857
  3.5, -52.5,2979.7875597641387
  3.5, -53.5,2610.5897039051715
  3.5, -54.5,2366.50737847953
  3.5, -55.5,2439.278496775134
  3.5, -56.5,2459.32547631757
  3.5, -57.5,2185.401339267862
  3.5, -58.5,2161.309098309484
  3.5, -59.5,1991.7215968493756
  3.5, -60.5,1840.4138323972963
  3.5, -61.5,2170.094000933499
  3.5, -62.5,2748.2017828842686
  3.5, -63.5,3083.434106497929
  3.5, -64.5,3174.204803203714
  3.5, -65.5,3142.166010100266
  3.5, -66.5,3069.9763585452374
  3.5, -67.5,3017.753516526058
  3.5, -68.5,2993.7116960985904
  3.5, -69.5,2929.649625712427
  3.5, -70.5,2832.1272189699366
  3.5, -71.5,2702.0828093331434
  3.5, -72.5,2701.4349703870967
  3.5, -73.5,3382.7940334533823
  3.5, -74.5,2013.5207186896223
  3.5, -75.5,1864.250904412105
  3.5, -76.5,1769.2940002638718
  3.5, -77.5,5227.165602914218
  3.5, 101.5,2634.8073848362624
  3.5, 102.5,2588.4328033348606
  3.5, 103.5,2813.5095378530436
  3.5, 113.5,3402.144898447497
  3.5, 114.5,3505.5880036189637
  3.5, 115.5,3324.182825417354
  3.5, 116.5,3209.872052094032
  3.5, 117.5,2814.976354138604
  3.5, 125.5,2445.2422873398355
  4.5,   5.5,2065.0408443233064
  4.5,   6.5,2213.8871141353557
  4.5,   7.5,2323.4356635702325
  4.5,   8.5,2466.936253750247
  4.5,   9.5,2572.7147007321555
  4.5,  -1.5,1393.2569175958633
  4.5,  -2.5,1442.049159878287
  4.5,  -6.5,1783.2008918837225
  4.5,  -7.5,2089.527188631995
  4.5,  -8.5,2350.6172742802523
  4.5,  10.5,2226.7108124283877
  4.5,  11.5,1733.4802051852616
  4.5,  12.5,1574.0233121411554
  4.5,  13.5,1545.5293443912062
  4.5,  14.5,1518.328047026591
  4.5,  15.5,1505.1901153570427
  4.5,  16.5,1512.7457200350434
  4.5,  17.5,1531.9431364281938
  4.5,  18.5,1528.0151198444698
  4.5,  19.5,1589.9530460176798
  4.5,  20.5,1607.6224441335635
  4.5,  21.5,1601.558647244976
  4.5,  22.5,1604.5689939125602
  4.5,  23.5,1604.3780414313078
  4.5,  24.5,1617.5366601964522
  4.5,  25.5,1663.1301956443951
  4.5,  26.5,1654.3358003091196
  4.5,  27.5,1595.2689851584105
  4.5,  28.5,1521.5155431011626
  4.5,  29.5,1489.6306260176773
  4.5,  30.5,1358.0987310630492
  4.5,  31.5,1084.2353659415426
  4.5,  32.5,997.4176915875026
  4.5,  33.5,853.2888059549291
  4.5,  34.5,548.129750414591
  4.5,  35.5,403.0047501239862
  4.5,  36.5,396.7370754238861
  4.5,  37.5,627.8435469208092
  4.5,  38.5,827.0185505984159
  4.5,  39.5,656.3293227931035
  4.5,  40.5,527.7607845355726
  4.5,  41.5,399.45905821812187
  4.5,  42.5,303.10302292623015
  4.5,  43.5,344.26810902992975
  4.5,  44.5,353.30819558108163
  4.5,  45.5,303.5120732508086
  4.5,  46.5,239.54483088876668
  4.5,  47.5,240.24698558346978
  4.5,  73.5,1961.4819199751164
  4.5,  95.5,2681.5741892847523
  4.5,  96.5,2398.7909960089055
  4.5,  97.5,2193.288404678476
  4.5, -51.5,3235.202354866883
  4.5, -52.5,3258.5750620940635
  4.5, -53.5,2758.7112638703707
  4.5, -54.5,2484.7276402013053
  4.5, -55.5,2482.9069513452464
  4.5, -56.5,2465.50866978744
  4.5, -57.5,2436.454365072579
  4.5, -58.5,2737.037132328954
  4.5, -59.5,2653.055224451525
  4.5, -60.5,2130.909091949463
  4.5, -61.5,2379.297887325287
  4.5, -62.5,3231.2901417962435
  4.5, -63.5,3447.3789455150736
  4.5, -64.5,3340.851349666201
  4.5, -65.5,3104.3763578020294
  4.5, -66.5,2892.253509669468
  4.5, -67.5,2779.2823840338606
  4.5, -68.5,2725.9224630388717
  4.5, -69.5,2697.070738660878
  4.5, -70.5,2693.379793808378
  4.5, -71.5,2585.58022421804
  4.5, -72.5,2994.3582451096895
  4.5, -73.5,2897.7142784513276
  4.5, -74.5,1504.6125260632612
  4.5, -75.5,1887.5590847114038
  4.5, -76.5,3581.7423083864405
  4.5, -77.5,7324.052726219439
  4.5, 100.5,2510.304639175021
  4.5, 101.5,2944.677209919896
  4.5, 102.5,2911.0996323289537
  4.5, 103.5,2881.198319172037
  4.5, 114.5,3060.5061006217165
  4.5, 115.5,3431.2168816204726
  4.5, 116.5,3032.574196651064
  4.5, 117.5,2439.7271997846406
  4.5, 118.5,2289.44229221344
  5.5,   0.5,1171.0448476762735
  5.5,   1.5,1449.6879587350734
  5.5,   5.5,2094.897894123569
  5.5,   6.5,2203.531503382942
  5.5,   7.5,2225.8215891978352
  5.5,   8.5,2358.073312876457
  5.5,   9.5,2354.0659944885247
  5.5,  -0.5,1155.2146782455966
  5.5,  -1.5,1275.4064908931996
  5.5,  -2.5,1471.4129639843416
  5.5,  -3.5,1512.5638226122949
  5.5,  -4.5,1450.1047700117501
  5.5,  -5.5,1452.9832167255468
  5.5,  -6.5,1601.8405459153241
  5.5,  -7.5,1952.2633988559246
  5.5,  -8.5,2381.065123177808
  5.5,  -9.5,2708.9521994508546
  5.5,  10.5,2026.2470143790003
  5.5,  11.5,1745.3069284048638
  5.5,  12.5,1585.3103768832273
  5.5,  13.5,1540.7926995476773
  5.5,  14.5,1522.1224482859773
  5.5,  15.5,1467.9901180233935
  5.5,  16.5,1469.9314953553778
  5.5,  17.5,1469.4215794725922
  5.5,  18.5,1459.3314950792442
  5.5,  19.5,1485.8409739383335
  5.5,  20.5,1508.7595082392015
  5.5,  21.5,1526.2457187370044
  5.5,  22.5,1554.2970073722815
  5.5,  23.5,1549.3702811591072
  5.5,  24.5,1547.6612313554203
  5.5,  25.5,1537.8763136613215
  5.5,  26.5,1497.313385378441
  5.5,  27.5,1445.2909716141635
  5.5,  28.5,1365.1237300480234
  5.5,  29.5,1284.2970038154644
  5.5,  30.5,1137.1534661602486
  5.5,  31.5,962.5185504583964
  5.5,  32.5,848.6478595966153
  5.5,  33.5,790.9926882106812
  5.5,  34.5,745.7336376884889
  5.5,  35.5,714.8551886045728
  5.5,  36.5,747.2301880470637
  5.5,  37.5,951.5314854958962
  5.5,  38.5,1048.1896758593361
  5.5,  39.5,841.7702738805835
  5.5,  40.5,629.502596364453
  5.5,  41.5,458.88966403240016
  5.5,  42.5,370.6676785096783
  5.5,  43.5,310.5133670820887
  5.5,  44.5,314.60991903352715
  5.5,  45.5,299.1603479986561
  5.5,  46.5,208.011640030698
  5.5,  47.5,191.34612325386243
  5.5,  48.5,233.49138163081528
  5.5,  80.5,2088.0517641449796
  5.5,  95.5,2395.8250444921955
  5.5,  96.5,1783.0414116711452
  5.5,  97.5,2057.524168581798
  5.5, -53.5,2547.69488280395
  5.5, -54.5,2331.8582397493824
  5.5, -55.5,2174.4836722324635
  5.5, -56.5,1996.5517618738372
  5.5, -57.5,2312.010391399778
  5.5, -58.5,3054.50350399675
  5.5, -59.5,3154.10221356359
  5.5, -60.5,2460.436691152638
  5.5, -61.5,2550.546164430421
  5.5, -62.5,3051.790144427069
  5.5, -63.5,3324.8354063034058
  5.5, -64.5,3204.926359505489
  5.5, -65.5,2917.894890094625
  5.5, -66.5,2670.140137146259
  5.5, -67.5,2430.418580823931
  5.5, -68.5,2417.3806465288685
  5.5, -69.5,2404.918586287005
  5.5, -70.5,2422.5146981025564
  5.5, -71.5,2589.6793597237815
  5.5, -72.5,2184.577627469753
  5.5, -73.5,1125.2819164703635
  5.5, -74.5,2491.5392788854138
  5.5, -75.5,2433.8884085622326
  5.5, -76.5,5068.619884490967
  5.5, -77.5,6850.007009835079
  5.5, 100.5,2545.804785070748
  5.5, 101.5,2733.8194406936905
  5.5, 102.5,2667.7914164641807
  5.5, 115.5,2679.0707385951073
  5.5, 116.5,2821.6539352844497
  5.5, 117.5,2764.543594623434
  5.5, 118.5,2703.8203054954265
  5.5, 119.5,2565.744875809242
  5.5, 120.5,2062.133657126591
  5.5, 125.5,1817.6689962765267
  5.5, 153.5,3869.048344053071
  6.5,   0.5,1184.5198516802668
  6.5,   1.5,1099.5590760689552
  6.5,   2.5,1278.4758924229454
  6.5,   3.5,1485.035375866814
  6.5,   4.5,1678.6194354457587
  6.5,   5.5,1866.7539148587605
  6.5,   6.5,1872.8495947868914
  6.5,   7.5,1836.8896929789335
  6.5,   8.5,1942.4978771051713
  6.5,   9.5,1987.1935692679715
  6.5,  -0.5,1214.1616630820108
  6.5,  -1.5,1295.6547694449025
  6.5,  -2.5,1330.9103676907976
  6.5,  -3.5,1318.4689932364072
  6.5,  -4.5,1257.2418402993471
  6.5,  -5.5,1301.9551934825963
  6.5,  -6.5,1471.803903074614
  6.5,  -7.5,1756.6155496991141
  6.5,  -8.5,2106.5927044055584
  6.5,  -9.5,2559.0970303565264
  6.5,  10.5,1866.767709090567
  6.5,  11.5,1713.336671205655
  6.5,  12.5,1590.5474487147453
  6.5,  13.5,1523.3590810115224
  6.5,  14.5,1491.5720148895193
  6.5,  15.5,1439.912094822346
  6.5,  16.5,1381.917267842989
  6.5,  17.5,1356.735802017345
  6.5,  18.5,1343.2405406554583
  6.5,  19.5,1370.5909727035926
  6.5,  20.5,1396.9711448178334
  6.5,  21.5,1426.26985457774
  6.5,  22.5,1451.2181237980017
  6.5,  23.5,1464.228472572687
  6.5,  24.5,1456.1845106492783
  6.5,  25.5,1432.5405386778816
  6.5,  26.5,1365.61510823256
  6.5,  27.5,1285.8026062694603
  6.5,  28.5,1186.9332101129253
  6.5,  29.5,1053.263812080636
  6.5,  30.5,961.3375184239884
  6.5,  31.5,892.2698438152479
  6.5,  32.5,858.7685498143064
  6.5,  33.5,894.807774584869
  6.5,  34.5,969.4409673645582
  6.5,  35.5,1240.0853674863947
  6.5,  36.5,1173.1995867675748
  6.5,  37.5,1229.5965737433269
  6.5,  38.5,1381.83752429845
  6.5,  39.5,1121.3345030078601
  6.5,  40.5,927.2582076036467
  6.5,  41.5,626.9991492731818
  6.5,  42.5,430.3254407099609
  6.5,  43.5,407.6219912921561
  6.5,  44.5,386.08319751610014
  6.5,  45.5,314.3879357948899
  6.5,  46.5,219.35905425366144
  6.5,  47.5,175.64870908808223
  6.5,  48.5,164.33620811741926
  6.5,  49.5,233.20258813685388
  6.5,  80.5,2394.878067440514
  6.5,  81.5,1617.782358272836
  6.5,  99.5,2385.853500325104
  6.5, -10.5,2883.647030846826
  6.5, -11.5,2910.0974487189587
  6.5, -57.5,2530.4580946872975
  6.5, -58.5,2586.6832416961934
  6.5, -59.5,2691.8987669780336
  6.5, -60.5,2258.040563616259
  6.5, -61.5,1739.3314942738107
  6.5, -62.5,2025.572879273316
  6.5, -63.5,2327.6996207566094
  6.5, -64.5,2513.9677174009125
  6.5, -65.5,2459.861255284013
  6.5, -66.5,2223.6759083188813
  6.5, -67.5,2081.066848258263
  6.5, -68.5,2105.9328016823733
  6.5, -69.5,2069.5043491125107
  6.5, -70.5,1961.9366797702066
  6.5, -71.5,2096.78581565824
  6.5, -72.5,1165.286226712424
  6.5, -73.5,2622.9478891964613
  6.5, -74.5,3068.9384140803895
  6.5, -75.5,2452.5211636115764
  6.5, -76.5,3899.0069614278855
  6.5, -77.5,4743.113307426716
  6.5, 100.5,1997.3991755863713
  6.5, 101.5,2226.04141528853
  6.5, 116.5,2597.2586633008104
  6.5, 117.5,2588.5147099001656
  6.5, 121.5,2056.73280126473
  6.5, 122.5,2080.1948632536264
  6.5, 124.5,1608.2797727831478
  6.5, 125.5,1765.809227162394
  7.5,   0.5,1284.77157578582
  7.5,   1.5,1133.6676954728844
  7.5,   2.5,1104.2707114031155
  7.5,   3.5,1275.6728717950655
  7.5,   4.5,1429.8379576552402
  7.5,   5.5,1532.2560589058517
  7.5,   6.5,1506.3392472411667
  7.5,   7.5,1485.8672677008756
  7.5,   8.5,1502.640974866708
  7.5,   9.5,1531.5789024643598
  7.5,  -0.5,1235.0556310279103
  7.5,  -1.5,1226.4776053041992
  7.5,  -2.5,1195.2448513226843
  7.5,  -3.5,1173.906491040188
  7.5,  -4.5,1150.4116619539866
  7.5,  -5.5,1209.8021762464837
  7.5,  -6.5,1367.6168363602062
  7.5,  -7.5,1608.1952885271787
  7.5,  -8.5,1927.975896479658
  7.5,  -9.5,2327.823742549481
  7.5,  10.5,1527.3370999818474
  7.5,  11.5,1502.1310667604337
  7.5,  12.5,1470.6547731305309
  7.5,  13.5,1423.0082228778188
  7.5,  14.5,1371.6922682175923
  7.5,  15.5,1300.7905446171824
  7.5,  16.5,1238.8789014201932
  7.5,  17.5,1201.5741606564102
  7.5,  18.5,1204.6698458926946
  7.5,  19.5,1222.5952818880562
  7.5,  20.5,1273.3616648238024
  7.5,  21.5,1309.5099353513776
  7.5,  22.5,1321.4913965020457
  7.5,  23.5,1323.0280395580521
  7.5,  24.5,1311.9232940195964
  7.5,  25.5,1297.3276057312714
  7.5,  26.5,1213.7353669299646
  7.5,  27.5,1139.5793275763442
  7.5,  28.5,1058.6892468349945
  7.5,  29.5,945.0082049194467
  7.5,  30.5,868.5379509348744
  7.5,  31.5,856.8853611103418
  7.5,  32.5,884.8521744588327
  7.5,  33.5,946.7146732755776
  7.5,  34.5,1057.0491607929098
  7.5,  35.5,1597.5948614041354
  7.5,  36.5,1573.0724403727156
  7.5,  37.5,1307.6935601311511
  7.5,  38.5,1154.7681263500247
  7.5,  39.5,1126.589678842735
  7.5,  40.5,1072.4556257458853
  7.5,  41.5,763.730620449987
  7.5,  42.5,555.2668217626111
  7.5,  43.5,487.6801831095384
  7.5,  44.5,412.9172475769603
  7.5,  45.5,282.793538199545
  7.5,  46.5,214.320261229215
  7.5,  47.5,177.37629591037748
  7.5,  48.5,168.59482905474204
  7.5,  49.5,171.41810541522915
  7.5,  79.5,1622.8052038172711
  7.5,  80.5,1859.584515353215
  7.5,  81.5,1768.1853776450814
  7.5,  98.5,2483.516419240113
  7.5,  99.5,2250.3297926156683
  7.5, -10.5,2611.6823730750075
  7.5, -11.5,2774.8603850146433
  7.5, -12.5,2873.5500440091405
  7.5, -58.5,2463.10004462867
  7.5, -59.5,2604.6853978716094
  7.5, -60.5,2132.564706111776
  7.5, -61.5,1383.5198528108926
  7.5, -62.5,1255.2232989771614
  7.5, -63.5,1391.6125243881652
  7.5, -64.5,1597.1827865222403
  7.5, -65.5,1773.4715874565059
  7.5, -66.5,1619.4215795623845
  7.5, -67.5,1628.0659804051616
  7.5, -68.5,1816.850469433799
  7.5, -69.5,1846.0004657835798
  7.5, -70.5,1699.6164116273667
  7.5, -71.5,1526.8853732429702
  7.5, -72.5,1618.3263193410019
  7.5, -73.5,2089.698312710071
  7.5, -74.5,2600.2073729942585
  7.5, -75.5,2423.3366910671366
  7.5, -76.5,3067.9194559886537
  7.5, -77.5,3726.9185988985255
  7.5, -78.5,3833.3828286138073
  7.5, -80.5,2470.5504701548607
  7.5, -81.5,2744.8310788253257
  7.5, 100.5,2176.447733973635
  7.5, 122.5,1803.9491750536292
  7.5, 123.5,1955.4327909535375
  7.5, 124.5,2009.9030620722936
  7.5, 125.5,2166.219004663928
  7.5, 126.5,2356.5304946899414
  7.5, 134.5,3185.6862666689117
  7.5, 151.5,3815.002645624095
  8.5,   0.5,1261.55132107472
  8.5,   1.5,1174.703472472374
  8.5,   2.5,1081.619847977277
  8.5,   3.5,1158.4905428690192
  8.5,   4.5,1219.7909715868661
  8.5,   5.5,1272.1672652589223
  8.5,   6.5,1274.4133857659804
  8.5,   7.5,1282.832348423721
  8.5,   8.5,1266.8112305854286
  8.5,   9.5,1224.0681265990474
  8.5,  -0.5,1198.3806246957774
  8.5,  -1.5,1142.663814032386
  8.5,  -2.5,1120.7853659516009
  8.5,  -3.5,1106.940112397364
  8.5,  -4.5,1122.9832098047925
  8.5,  -5.5,1198.178039572876
  8.5,  -6.5,1304.3638169841265
  8.5,  -7.5,1467.1508912039474
  8.5,  -8.5,1809.5418461167478
  8.5,  -9.5,2180.0875436919578
  8.5,  10.5,1211.262521615252
  8.5,  11.5,1234.0625201766861
  8.5,  12.5,1219.2422630863648
  8.5,  13.5,1190.285800332364
  8.5,  14.5,1126.3590779135582
