lat,lon,mean_annual_temp_C
  0.5,   6.5,24.250503257773392
  0.5,   9.5,26.257112418098014
  0.5,  10.5,24.84755798591965
  0.5,  11.5,24.824928626246837
  0.5,  12.5,24.89683959949976
  0.5,  13.5,24.18538113572132
  0.5,  14.5,24.174784876834387
  0.5,  15.5,24.798994815212563
  0.5,  16.5,25.06426054581829
  0.5,  17.5,25.20653776738836
  0.5,  18.5,25.252478780417615
  0.5,  19.5,25.142744601457974
  0.5,  20.5,25.1698997623619
  0.5,  21.5,25.224461656877367
  0.5,  22.5,25.307363907496136
  0.5,  23.5,25.395187180617764
  0.5,  24.5,25.378233117618784
  0.5,  25.5,25.09676775164988
  0.5,  26.5,24.559303659132162
  0.5,  27.5,24.086925662797075
  0.5,  28.5,23.603197256724044
  0.5,  29.5,21.12661675201065
  0.5,  30.5,22.09030222070629
  0.5,  31.5,22.44874321729288
  0.5,  32.5,22.475646991839355
  0.5,  33.5,23.12126475915142
  0.5,  34.5,21.374210280933603
  0.5,  35.5,19.240122636159263
  0.5,  36.5,18.95822608881984
  0.5,  37.5,21.091020564923348
  0.5,  38.5,26.412895715099648
  0.5,  39.5,27.895402820631013
  0.5,  40.5,29.14382235483192
  0.5,  41.5,28.725575175778626
  0.5,  42.5,28.292134046554573
  0.5,  43.5,27.893965819786338
  0.5,  97.5,26.530963009801404
  0.5,  99.5,26.122845277018936
  0.5, -50.5,27.057974483775002
  0.5, -51.5,26.827622487627227
  0.5, -52.5,26.524497574773328
  0.5, -53.5,26.029239024239036
  0.5, -54.5,25.87320439020793
  0.5, -55.5,25.959519008110306
  0.5, -56.5,26.660632750083664
  0.5, -57.5,26.62284518932474
  0.5, -58.5,26.830136907511747
  0.5, -59.5,26.749605217199218
  0.5, -60.5,26.96293144116457
  0.5, -61.5,27.000144048668876
  0.5, -62.5,26.851940127624864
  0.5, -63.5,26.63800336026598
  0.5, -64.5,26.123492016189402
  0.5, -65.5,24.42557510014238
  0.5, -66.5,25.81831940563246
  0.5, -67.5,25.956609646479297
  0.5, -68.5,25.89184660199045
  0.5, -69.5,25.894648403956978
  0.5, -70.5,25.88462675028834
  0.5, -71.5,25.7976657220687
  0.5, -72.5,25.817098168120992
  0.5, -73.5,25.765948802575302
  0.5, -74.5,25.930711625636313
  0.5, -75.5,25.931789335163167
  0.5, -76.5,25.323671362865934
  0.5, -77.5,16.485955778209647
  0.5, -78.5,18.413793489850804
  0.5, -79.5,24.882974608191134
  0.5, -80.5,24.810488878995518
  0.5, 100.5,26.26778058073987
  0.5, 101.5,27.091343646762017
  0.5, 102.5,27.257723030002644
  0.5, 103.5,27.475539226641605
  0.5, 104.5,27.359052074366595
  0.5, 108.5,27.091738835148423
  0.5, 109.5,26.665589499747618
  0.5, 110.5,26.151868184407554
  0.5, 111.5,26.256932971121255
