First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ratio_Type	C_method	N_Method	P_method	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Notes
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	natural_swamp	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	1	266	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.6522	10	NA	0.002279452	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	natural_swamp	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	1	294	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.3913	10	NA	0.002279452	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	natural_swamp	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	1	322	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.3043	10	NA	0.002279452	dm	NA	NA	NA	NA	NA	NA	NA	NA	20	1006	50	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	impoundment	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	2	1	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	10	NA	0.002106849	dm	NA	NA	NA	NA	NA	NA	NA	NA	48	1741	36	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	impoundment	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	2	7	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.087	10	NA	0.002106849	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	impoundment	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	2	21	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84.3478	10	NA	0.002106849	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	impoundment	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	2	56	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.3478	10	NA	0.002106849	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	impoundment	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	2	98	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.5652	10	NA	0.002106849	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	impoundment	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	2	126	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.8261	10	NA	0.002106849	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	impoundment	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	2	154	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.8696	10	NA	0.002106849	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	impoundment	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	2	182	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.0435	10	NA	0.002106849	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	impoundment	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	2	210	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.3913	10	NA	0.002106849	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	impoundment	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	2	238	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.3043	10	NA	0.002106849	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	impoundment	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	2	266	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.6957	10	NA	0.002106849	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	impoundment	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	2	294	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.087	10	NA	0.002106849	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
Conner	Leaf litter decomposition in three Louisiana fresh-water forested wetland areas with different flooding regimes	1991	Wetlands	10.1007/BF03160855	wetland	NA	NA	slow	litter_bags	1	field	impoundment	forested	NA	leaves	senesced	Nyssa_aquaticaxFraxinus_spxAcer_sp	2	322	October1978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.3478	10	NA	0.002106849	dm	NA	NA	NA	NA	NA	NA	NA	NA	21	1145	55	NA	NA	digestion	acid_digestion	NA	dm	BaratariaBasin_Louisiana	0	29.91667_-90.71667	3	n	n	n	n	
