First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Component_Ratio_type	C_method	N_method	P_method	Notes
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	petioles	green	Eichhornia_crassipes	2	7	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.4609375	10	NA	0.0455	dm	NA	NA	21.7016029593094	31.8676122931442	36.5882352941176	39.5294117647058	2.35016835016835	0.413698630136986	19.6207907534776	246.396461590409	12.557927184802	NA	dm	"Dulikoto wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion60	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	petioles	green	Eichhornia_crassipes	2	14	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.90625	10	NA	0.0455	dm	NA	NA	21.8002466091245	30.2127659574468	36	42.9882352941176	2.02020202020202	0.395890410958904	24.8227529019934	280.009542899066	11.2803581457953	NA	dm	"Dulikoto wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion61	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	petioles	green	Eichhornia_crassipes	2	34	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.609375	10	NA	0.0455	dm	NA	NA	21.948212083847	27.4231678486997	32.3529411764705	41.9294117647058	1.82491582491582	0.374657534246575	26.8022380597025	288.590809948944	10.7674146206038	NA	dm	"Dulikoto wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion62	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	petioles	green	Eichhornia_crassipes	2	66	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.21875	10	NA	0.0455	dm	NA	NA	21.849568434032	25.1063829787234	30.4705882352941	43.3411764705882	2.05387205387205	0.418493150684931	24.6162808395768	267.061042084326	10.8489598337275	NA	dm	"Dulikoto wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion63	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	petioles	green	Eichhornia_crassipes	2	91	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.28125	10	NA	0.0455	dm	NA	NA	21.948212083847	23.5933806146572	29.3529411764706	41.8588235294117	1.75084175084175	0.358219178082191	27.8891482964799	301.325844853729	10.8044118683883	NA	dm	"Dulikoto wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion64	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	petioles	green	Eichhornia_crassipes	2	115	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5234375	10	NA	0.0455	dm	NA	NA	22.0468557336621	22.127659574468	25.9411764705882	42.0705882352941	1.72390572390572	0.31917808219178	28.4682126108146	339.894174697893	11.939427997976	NA	dm	"Dulikoto wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion65	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	roots	green	Eichhornia_crassipes	3	0	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	10	NA	0.013	dm	NA	NA	18.671	29.47	42.53	33.554	1.573	0.208	24.8834564118797	415.986429577916	16.7173893647395	NA	dm	"Dulikoto wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion66	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	roots	green	Eichhornia_crassipes	3	3	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95.62820402	10	NA	0.013	dm	NA	NA	19.2848335388409	29.2198581560283	36.7647058823529	34.1647058823529	1.33333333333333	0.19931506849315	29.8905617867464	442.013721130916	14.7877354826736	NA	dm	"Dulikoto wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion67	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	roots	green	Eichhornia_crassipes	3	7	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.13905624	10	NA	0.013	dm	NA	NA	19.7780517879161	28.6052009456264	35.1764705882352	34.3764705882353	1.29292929292929	0.186301369863013	31.015703672185	475.820813969906	15.3412870782817	NA	dm	"Dulikoto wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion68	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	roots	green	Eichhornia_crassipes	3	14	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.79516971	10	NA	0.013	dm	NA	NA	19.3341553637484	27.8959810874704	32.9999999999999	34.6588235294117	1.59595959595959	0.247945205479452	25.3330250356027	360.459353961613	14.2288318688758	NA	dm	"Dulikoto wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion69	digestion	molybdenum_blue	
