First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	C_method	N_method	P_method	Ratio_Type	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Notes
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	nutrient_limited	NA	NA	leaves	senesced	Typha_latifolia	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00222	afdm	NA	NA	NA	NA	NA	46.29	0.65	0.26	70	1805	26	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	nutrient_limited	NA	NA	leaves	senesced	Typha_latifolia	3	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00222	afdm	NA	NA	NA	NA	NA	46.45	0.72	0.31	48	1652	35	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	nutrient_limited	NA	NA	leaves	senesced	Typha_latifolia	3	182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00222	afdm	NA	NA	NA	NA	NA	46.85	0.87	0.34	64	1554	24	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	nutrient_limited	NA	NA	leaves	senesced	Typha_latifolia	3	273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00222	afdm	NA	NA	NA	NA	NA	45.65	0.97	0.28	39	1995	47	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	nutrient_limited	NA	NA	leaves	senesced	Typha_latifolia	3	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00222	afdm	NA	NA	NA	NA	NA	46.45	1.21	0.24	56	1420	25	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	enriched	NA	NA	leaves	senesced	Cladium_jamaicense	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.0026	afdm	NA	NA	NA	NA	NA	44.1	0.5	0.21	86	2107	24	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	enriched	NA	NA	leaves	senesced	Cladium_jamaicense	4	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.0026	afdm	NA	NA	NA	NA	NA	44.58	0.47	0.13	79	3126	40	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	enriched	NA	NA	leaves	senesced	Cladium_jamaicense	4	182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.0026	afdm	NA	NA	NA	NA	NA	44.72	0.51	0.34	97	3731	38	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	enriched	NA	NA	leaves	senesced	Cladium_jamaicense	4	273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.0026	afdm	NA	NA	NA	NA	NA	44.79	0.6	0.25	62	2229	36	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	enriched	NA	NA	leaves	senesced	Cladium_jamaicense	4	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.0026	afdm	NA	NA	NA	NA	NA	45.28	0.71	0.2	89	1211	15	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
